CAS,ICH Limit,ICH Class,In Ch I Key,In Ch I,PC1,PC2,PC3,PC4,PC5,Name
149-73-5,,,PYOKUURKVVELLB-UHFFFAOYSA-N,"InChI=1S/C4H10O3/c1-5-4(6-2)7-3/h4H,1-3H3",-1.02058,0.21178,-1.82886,-2.13549,0.881435,Trimethoxymethane [Trimethyl orthoformate]
109-60-4,,,YKYONYBAUNKHLG-UHFFFAOYSA-N,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",0.370835,-0.61374,-1.46604,-2.01997,1.20246,n-Propyl acetate
96-22-0,,,FDPIMTJIUBPUKL-UHFFFAOYSA-N,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",-0.498106,-0.435308,-2.16,-1.21806,0.4441,Pentan-3-one
98-08-8,,,GETTZEONDQJALK-UHFFFAOYSA-N,"InChI=1S/C7H5F3/c8-7(9,10)6-4-2-1-3-5-6/h1-5H",3.26364,-2.50062,-0.738734,0.416847,1.12556,Benzotrifluoride
75-85-4,,,MSXVEPNJUHWQHW-UHFFFAOYSA-N,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3",-2.39071,-0.731133,1.32996,-1.71282,-0.879646,tert-Amyl Alcohol [2-Methylbutan-2-ol]
107-87-9,,,XNLICIUVMPYHGG-UHFFFAOYSA-N,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",-0.879225,-0.170172,-2.3115,-1.46341,0.431732,Pentan-2-one
623-42-7,,,UUIQMZJEGPQKFD-UHFFFAOYSA-N,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",0.635703,-0.978522,-1.23137,-1.90409,1.16351,Methyl Butyrate
22699-70-3,,,GQHWSLKNULCZGI-UHFFFAOYSA-N,"InChI=1S/C7H5F3O/c8-7(9,10)11-6-4-2-1-3-5-6/h1-5H",5.24751,-2.66385,0.336053,0.731527,0.321168,(Trifluoromethoxy)benzene [Trifluoromethylphenyl ether]
434-64-0,,,USPWUOFNOTUBAD-UHFFFAOYSA-N,"InChI=1S/C7F8/c8-2-1(7(13,14)15)3(9)5(11)6(12)4(2)10",6.29549,-2.97366,0.992833,-0.417502,1.16316,"1,2,3,4,5-Pentafluoro-6-(trifluoromethyl)benzene [Perfluorotoluene]"
110-58-7,,,DPBLXKKOBLCELK-UHFFFAOYSA-N,"InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3",-1.64448,1.97658,-1.09956,-2.38677,-1.99034,n-Pentylamine
5614-37-9,,,SKTCDJAMAYNROS-UHFFFAOYSA-N,"InChI=1S/C6H12O/c1-7-6-4-2-3-5-6/h6H,2-5H2,1H3",1.56217,-1.2353,-1.75856,-1.75934,-1.09553,CPME [Cyclopentyl Methyl Ether]
592-84-7,,,NMJJFJNHVMGPGM-UHFFFAOYSA-N,"InChI=1S/C5H10O2/c1-2-3-4-7-5-6/h5H,2-4H2,1H3",0.414017,-1.249,-1.19832,-1.51051,1.88263,Butyl Formate
110-89-4,,,NQRYJNQNLNOLGT-UHFFFAOYSA-N,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",-1.37124,0.700927,-2.20144,-1.16237,-3.4166,Piperidine
75-97-8,,,PJGSXYOJTGTZAV-UHFFFAOYSA-N,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3",0.296798,0.437413,-1.87148,-1.47586,0.244384,"3,3-Dimethyl-2-butanone [MTBK]"
2556-73-2,,,ZWXPDGCFMMFNRW-UHFFFAOYSA-N,"InChI=1S/C7H13NO/c1-8-6-4-2-3-5-7(8)9/h2-6H2,1H3",-2.14404,4.21566,-2.4185,0.486245,-0.358426,1-Methylazepan-2-one [N-Methylcaprolactam]
78-83-1,5000,3,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",-3.71432,-2.35607,1.93132,-1.47421,-0.774119,iso-Butanol [2-Methylpropan-1-ol]
142-84-7,,,WEHWNAOGRSTTBQ-UHFFFAOYSA-N,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",1.49333,1.86028,-0.913092,-2.88531,-2.63241,Dipropylamine
627-93-0,,,UDSFAEKRVUSQDD-UHFFFAOYSA-N,"InChI=1S/C8H14O4/c1-11-7(9)5-3-4-6-8(10)12-2/h3-6H2,1-2H3",0.982668,4.73123,0.443937,-0.453124,2.08847,Dimethyl Adipate
108-88-3,890,2,YXFVVABEGXRONW-UHFFFAOYSA-N,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",4.15092,-3.70436,-1.08688,0.97639,-1.41892,Toluene
79-00-5,,,UBOXGVDOUJQMTN-UHFFFAOYSA-N,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",1.00541,-3.95074,0.821477,2.90385,2.20218,"1,1,2-Trichloroethane"
79-24-3,,,MCSAJNNLRCFZED-UHFFFAOYSA-N,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3",-2.14468,-3.62892,-2.68811,1.23438,3.63157,Nitroethane
1850-14-2,,,AHJWSRRHTXRLAQ-UHFFFAOYSA-N,"InChI=1S/C5H12O4/c1-6-5(7-2,8-3)9-4/h1-4H3",1.21158,0.44984,-0.793437,-2.73512,0.336434,Tetramethoxymethane
110-86-1,200,2,JUJWROOIHBZHMG-UHFFFAOYSA-N,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,-2.33832,-0.618091,-3.00425,1.64005,-0.645808,Pyridine
584-02-1,,,AQIXEPGDORPWBJ-UHFFFAOYSA-N,"InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3",-2.01188,-1.30853,1.4764,-1.38071,-0.752789,Pentan-3-ol
108-10-1,5000,3,NTIZESTWPVYFNL-UHFFFAOYSA-N,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",0.593996,0.332404,-1.82072,-1.2971,0.464529,MIBK [Methyl iso-Butyl Ketone or 4-Methyl-2-pentanone]
107-15-3,,,PIICEJLVQHRZGT-UHFFFAOYSA-N,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,-8.92429,4.69006,-3.0658,-1.42983,-3.29467,"1,2-Diaminoethane"
109-02-4,,,SJRJJKPEHAURKC-UHFFFAOYSA-N,"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3",-1.17593,1.35871,-2.56019,-1.10662,-2.0975,N-methylmorpholine [NNM]
110-19-0,5000,3,GJRQTCIYDGXPES-UHFFFAOYSA-N,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",1.326,0.124708,-0.885963,-2.02613,1.2386,iso-Butyl Acetate
109-74-0,,,KVNRLNFWIYMESJ-UHFFFAOYSA-N,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3",-1.60149,-2.07822,-1.82494,-0.863574,3.80822,Butyronitrile
71-36-3,5000,3,LRHPLDYGYMQRHN-UHFFFAOYSA-N,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",-4.22827,-1.69267,2.20752,-1.65375,-1.08503,Butan-1-ol
64-19-7,5000,3,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",-7.9189,-4.82223,4.6104,-0.483395,-0.842599,Acetic Acid
6032-29-7,,,JYVLIDXNZAXMDK-UHFFFAOYSA-N,"InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3",-2.12084,-0.75189,1.81988,-1.32716,-0.562897,Pentan-2-ol
